"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Ensembl_Full","Symbol","combined_score"
3117.29408734272,5.96356028356638,0.152504101436686,39.1042616387746,0,0,"ENSG00000062038.14","CDH3",Inf
1338.69401580356,6.76194837199874,0.184485055322435,36.65309561352,4.08481360951734e-294,4.78617610627147e-290,"ENSG00000167767.14","KRT80",1956.36697957021
331.284039022782,8.04704434521255,0.26628755523484,30.219378213585,1.3181668235311e-200,5.14832022377129e-197,"ENSG00000159263.16","SIM2",1579.54093175063
3522.89608345791,5.30321872834028,0.15189946305889,34.9126891007131,4.77230429449128e-267,3.72780596123696e-263,"ENSG00000175832.13","ETV4",1391.71598371857
2182.49536095914,6.21618876782411,0.196261950041916,31.6729185993337,3.66777946647878e-220,2.1487686004366e-216,"ENSG00000164379.7","FOXQ1",1340.63182028445
230.032907773917,5.73666515095867,0.181655009227497,31.5799997773489,6.94920200028297e-219,3.25695199349262e-215,"ENSG00000164283.13","ESM1",1230.44118041402
645.39631007641,8.99026022965553,0.372756743719132,24.1183033738206,1.60663015139915e-128,1.79284623656608e-125,"ENSG00000214039.9","LINC02418",1121.50311076287
568.013505118369,9.77201348686113,0.435753828084466,22.4255367527533,2.2180438147863e-111,1.20878229664424e-108,"ENSG00000167755.15","KLK6",1054.57274992641
914.438942011117,8.39738232692772,0.350735145370668,23.9422323019642,1.11327449381463e-126,1.13428149948052e-123,"ENSG00000170373.8","CST1",1032.41851432476
2459.18144430103,9.45785427391407,0.420345512163551,22.5001909149303,4.13279548002393e-112,2.36214461655807e-109,"ENSG00000185269.12","NOTUM",1027.37543754361
865.341065920064,7.90935390153374,0.334452829854127,23.6486380007113,1.21902304853747e-123,1.19027442164279e-120,"ENSG00000123500.10","COL10A1",948.524148491063
4529.58150454099,5.21546304984432,0.179606549401404,29.0382676312557,2.16443719678552e-185,6.34017765868398e-182,"ENSG00000103888.17","CEMIP",945.030944714538
299.788931177071,5.45215235302072,0.197082305158315,27.664342309377,1.87599625341522e-168,3.9965542002302e-165,"ENSG00000105989.10","WNT2",896.324656104485
3148.05143891123,4.7857128100801,0.162982643093041,29.3633280161502,1.61506000173425e-189,5.4067594400915e-186,"ENSG00000163347.6","CLDN1",886.634956459201
295.134319534263,-5.92953472746475,0.237121315996468,-25.0063335830721,5.21672528254482e-138,8.73205287651109e-135,"ENSG00000142959.5","BEST4",794.906806086954
2310.71481974381,7.14532854848578,0.314001304082415,22.75572889535,1.2593196449962e-114,8.43168473166883e-112,"ENSG00000137673.9","MMP7",793.660835123962
1366.14964667408,6.52375564765828,0.276801461807727,23.5683569192631,8.13970461198616e-123,7.62983351509135e-120,"ENSG00000060718.22","COL11A1",777.093365101462
1314.78114459079,4.84300898470547,0.179027015364563,27.0518333495276,3.63441514077686e-161,7.09740703408042e-158,"ENSG00000105464.3","GRIN2D",761.07353602848
152.716675305511,9.20109836628849,0.474415501394252,19.3945989101274,8.57188213105568e-84,2.47991957850813e-81,"ENSG00000230316.7","FEZF1-AS1",741.659708537365
1218.94894939307,4.86789081456377,0.183937425816865,26.4649284556718,2.45677809585183e-154,4.4286259921686e-151,"ENSG00000181577.16","LINC03040",731.905546047666
